from,to,cost
1802838360064,1802838360064,0.0
1802838360064,1004419350530,10803.6
1802838360064,1144134225924,16918.3
1802838360064,1802838360069,15868.0
1802838360064,1490313293830,13408.5
1802838360064,1144042225671,11600.1
1802838360064,1742015328264,19042.8
1802838360064,1490313293833,15533.7
1802838360064,1144134225930,4873.3
1802838360064,1490405294091,3988.9
1802838360064,1490405294092,7691.0
1802838360064,1462215565325,10560.9
1802838360064,1490405294094,6437.6
1802838360064,1004419350543,12638.2
1802838360064,1135895695377,7606.9
1802838360064,1135895695378,13349.6
1802838360064,1135895695379,4150.1
1802838360064,1219770920980,21169.0
1802838360064,1219770920981,21557.6
1802838360064,1219770920982,18246.3
1802838360064,1219770920987,14913.8
1802838360064,1004419350533,11428.2
1802838360064,1097755299874,13256.9
1802838360064,1816743105992,14356.6
1802838360064,1097755299878,5909.1
1802838360064,1193926869031,9594.5
1802838360064,1715551531049,11165.0
1802838360064,1530526683180,13618.0
1802838360064,1490313293832,17889.1
1802838360064,1246623348062,10509.4
1802838360064,1090062225467,18179.1
1802838360064,1010273771530,6280.2
1802838360064,1090062225471,23617.6
1802838360064,1139095601216,12364.2
1802838360064,1014460024160,9945.6
1802838360064,1097746299873,6826.5
1802838360064,1139095601220,8577.3
1802838360064,1139095601221,7681.7
1802838360064,1247363944520,8939.0
1802838360064,1020349775952,4531.4
1802838360064,1275447570513,16708.6
1802838360064,1405259086613,7836.4
1802838360064,1163733777081,21266.5
1802838360064,1020349775962,14669.7
1802838360064,1020349775963,14697.9
1802838360064,1553853018204,10442.6
1802838360064,1614291955806,12113.7
1802838360064,1462215565411,12142.2
1802838360064,1004575350884,13879.0
1802838360064,1004575350887,9688.0
1802838360064,1383874560104,2926.9
1802838360064,1383874560105,10542.3
1802838360064,1383874560107,10538.1
1802838360064,1383874560108,5600.3
1802838360064,1004575350894,12235.7
1802838360064,1462215565423,8945.5
1802838360064,1886707693637,10563.9
1802838360064,1014342023870,4975.8
1802838360064,1219640920767,18226.1
1802838360064,1493049335933,2428.4
1802838360064,1401351831678,25416.0
1802838360064,1052227772484,15256.1
1802838360064,1014453024108,13714.3
1802838360064,1472435290252,13148.3
1802838360064,1490391294096,17978.9
1802838360064,1490391294097,11416.3
1802838360064,1490299293844,16776.7
1802838360064,1490299293845,11279.1
1802838360064,1490391294103,4661.8
1802838360064,1490299293848,12368.0
1802838360064,1490299293849,7771.5
1802838360064,1135881695392,15442.8
1802838360064,1135881695396,10067.0
1802838360064,1135881695397,5732.5
1802838360064,1135881695399,10615.4
1802838360064,1068860551339,14159.3
1802838360064,1135881695405,13530.2
1802838360064,1105771892916,12833.5
1802838360064,1320910495929,6216.1
1802838360064,1120779890874,17587.5
1802838360064,1120779890875,21290.9
1802838360064,1322273546428,27629.5
1802838360064,1105771892925,4579.5
1802838360064,1120779890879,21079.4
1802838360064,1779716960449,26939.5
1802838360064,1301710983366,12240.9
1802838360064,1779808960717,18682.8
1802838360064,1721316282576,10407.8
1802838360064,1247257944275,10429.8
1802838360064,1721316282585,10407.8
1802838360064,1490285293790,10919.9
1802838360064,1246623348091,10591.9
1802838360064,1934392705252,21812.5
1802838360064,1934392705255,14155.2
1802838360064,1934392705259,15620.2
1802838360064,1882889679084,18018.2
1802838360064,1042010452212,19943.4
1802838360064,1503103983864,19152.4
1802838360064,1503103983865,15614.7
1802838360064,1503103983868,15017.7
1802838360064,1503103983870,14167.5
1802838360064,1097883300101,6764.0
1802838360064,1097883300103,17945.0
1802838360064,1710456856841,14039.7
1802838360064,1675731638999,4920.1
1802838360064,1710456856844,15286.2
1802838360064,1883038679309,13385.3
1802838360064,1710456856846,16420.3
1802838360064,1710456856847,12311.5
1802838360064,1252495663379,1030.9
1802838360064,1252278214932,13110.2
1802838360064,1252495663381,5069.7
1802838360064,1111945150745,12992.2
1802838360064,1111945150747,12676.1
